id,name,enrollment
18411,2024 Fall - EXSC 3510-1 - Exercise Physiology,12
18412,2024 Fall - HONS 1000-1 - Introduction to Honors,18
18413,2024 Fall - EXSC 3510-L1 - LAB: Exercise Physiology,12
18414,2024 Fall - EXSC 3600-1 - Physiology of Aging,30
18415,2024 Fall - HONS 1000-2 - Introduction to Honors,17
18416,2024 Fall - EXSC 5950-1 - Senior Capstone,16
18417,2024 Fall - HONS 1000-3 - Introduction to Honors,19
18418,2024 Fall - HIST 1200-1 - Ancient Greece and Rome,27
18419,2024 Fall - HONS 1000-4 - Introduction to Honors,16
18420,2024 Fall - HIST 3910-1 - Wars and Reforms in the Russian Empire: From Czar to Red Czar,0
18421,2024 Fall - HONS 1000-5 - Introduction to Honors,23
18422,2024 Fall - HIST 1420-1 - Latin American History: Mexico,28
18423,2024 Fall - HIST 3961-1 - Fascism: A Modern Idea,0
18424,2024 Fall - HIST 1600-1 - Introduction to Chinese History,20
18425,2024 Fall - BIOL 1510-1 - Integrated Concepts in Biology I,38
18426,2024 Fall - BIOL 1510-2 - Integrated Concepts in Biology I,62
18427,2024 Fall - BIOL 1510-L1 - LAB: Integrated Concepts in Biology I,18
18428,2024 Fall - WRIT 8110-1 - Groundings in the Craft of Poetry,6
18429,2024 Fall - BIOL 1510-L2 - LAB: Integrated Concepts in Biology I,20
18430,2024 Fall - WRIT 8130-1 - Groundings in the Craft of Fiction: Fictionalizing the Real,5
18431,2024 Fall - BIOL 1510-L3 - LAB: Integrated Concepts in Biology I,21
18432,2024 Fall - LEAD 1000-1 - Leadership for the Common Good,26
18433,2024 Fall - BIOL 1510-L4 - LAB: Integrated Concepts in Biology I,21
18434,2024 Fall - LEAD 1010-1 - Leading Across Groups and Teams,21
18435,2024 Fall - BIOL 1510-L5 - LAB: Integrated Concepts in Biology I,20
18436,2024 Fall - BIOL 3050-1 - Principles of Genetics,41
18437,2024 Fall - BIOL 3050-L1/L2 - LAB: Principles of Genetics,41
18438,2024 Fall - BIOL 3050-L2 - LAB: Principles of Genetics,0
18439,2024 Fall - WRIT 8351-1 - Creative & Critical Writing: Level 1,7
18440,2024 Fall - EDU 1150-1 - Schools and Society,18
18441,2024 Fall - BIOL 5540-1 - Aquatic Biology,19
18442,2024 Fall - EDU 1150-2 - Schools and Society,19
18443,2024 Fall - WRIT 8353-1 - Creative & Critical Writing: Level 2,5
18444,2024 Fall - EDU 1250-1 - Educational Psychology,21
18445,"2024 Fall - WRIT 8355-1 - Critical and Creative Writing: Level 3, Extended Critical Essay",8
18446,2024 Fall - EDU 1250-2 - Educational Psychology,20
18447,2024 Fall - EDU 3500-1 - Diversity and Education,22
18448,2024 Fall - BIOL 5540-L1 - LAB: Aquatic Biology,19
18450,"2024 Fall - WRIT 8357-1 - Creative & Critical Writing: Level 4, Creative Thesis*",4
18451,2024 Fall - GIST 1910-1 - Introduction to Global and International Studies,24
18452,2024 Fall - BIOL 5650-1 - Animal Behavior,11
18453,2024 Fall - GIST 1910-2 - Introduction to Global and International Studies,24
18454,2024 Fall - INTD 3990-2CR - Internship,0
18455,2024 Fall - FYW 1110-1 - Critical Reading and Composition,16
18456,2024 Fall - BIOL 5650-L1 - LAB: Animal Behavior,11
18457,2024 Fall - FYW 1110-2 - Critical Reading and Composition,17
18458,2024 Fall - INTD 3990-4CR - Internship,0
18459,2024 Fall - FYW 1110-3 - Critical Reading and Composition,17
18460,2024 Fall - BIOL 5960-1 - Senior Capstone,18
18461,2024 Fall - FYW 1110-4 - Critical Reading and Composition,17
18462,2024 Fall - BIOL & NEUR 5961/5962/5963/5964 - Biology & Neuroscience Seminar ,67
18463,2024 Fall - FYW 1110-5 - Critical Reading and Composition,15
18464,2024 Fall - BIOL 5962-1/ NEUR 5962-1 - Biology & Neuroscience Seminar II,0
18465,2024 Fall - BIOL 5963-1/ NEUR 5963-1 - Biology & Neuroscience Seminar III,0
18466,2024 Fall - EDU 1150-L1 - LAB: Schools and Society,9
18467,2024 Fall - BIOL 5964-1/ NEUR 5964-1 - Biology & Neuroscience Seminar Presentation,0
18468,2024 Fall - EDU 1150-L2 - LAB: Schools and Society,4
18469,2024 Fall - CDS 1010-1&2 - Introduction to Programming,40
18470,2024 Fall - EDU 1150-L3 - LAB: Schools and Society,1
18471,2024 Fall - CDS 1010-2 - Introduction to Programming,0
18472,2024 Fall - EDU 1150-L4 - LAB: Schools and Society,9
18473,2024 Fall - ENCM 1200-1 - Introduction to English Studies: Black Feminist Literature and Thought,29
18474,2024 Fall - EDU 1150-L5 - LAB: Schools and Society,8
18475,2024 Fall - ENCM 1230-1 - Introduction to English Studies: American Environmental Literature (Wild and Precious Life),26
18476,2024 Fall - EDU 1150-L6 - LAB: Schools and Society,6
18477,2024 Fall - FYW 1120-1 - Composition and Research,18
18479,2024 Fall - FYW 1120-2 - Composition and Research,17
18481,2024 Fall - FYW 1120-3 - Composition and Research,17
18482,2024 Fall - MATH 1170-1&2 - Calculus I,44
18483,2024 Fall - FYW 1120-4 - Composition and Research,18
18484,2024 Fall - MATH 1170-2 - Calculus I,0
18485,2024 Fall - FYW 1120-5 - Composition and Research,17
18486,2024 Fall - MATH 1180-1 - Calculus II,9
18487,2024 Fall - FYW 1120-6 - Composition and Research,18
18488,2024 Fall - MATH 1200-1 - Statistics,29
18489,2024 Fall - FYW 1120-7 - Composition and Research,17
18490,2024 Fall - MATH 1200-2 - Statistics,30
18491,2024 Fall - FYW 1120-8 - Composition and Research,18
18492,2024 Fall - MATH 1200-3 - Statistics,29
18493,2024 Fall - FYW 1120-9 - Composition and Research,17
18494,2024 Fall - ENCM 3010-1 - Theories & Methods for Professional Communication & Cultural Rhetorics,17
18495,2024 Fall - ENCM 1400-1 - Introduction to Literature and Criticism,13
18496,2024 Fall - ENCM 3410-1 - Studies in Professional Communication: Small Group Communication,24
18497,2024 Fall - ENCM 1600-1 - Public Speaking,23
