year,agency_name,Total Crime,Index-Violent,Index-Property,Index-Total,Murder
2010,atlanta,28.22454787478197,50.252217777004695,15.275974025974026,20.77758625406988,76.34408602150538
2011,atlanta,29.442028820543175,48.71248154830244,15.226910828025478,20.860351535553654,89.77272727272727
2012,atlanta,30.20894678570587,49.70963995354239,15.44442109686909,21.41638471993291,85.54216867469879
2013,atlanta,26.451792164490133,43.473531544597535,13.742371403661727,18.705362546907153,78.3132530120482
2014,atlanta,26.490364252435413,40.523578985117446,14.834954430573639,19.355653024518002,64.51612903225806
2015,atlanta,22.751748639946708,38.80453584470498,13.077163875410863,17.429045157514874,84.04255319148936
2016,atlanta,22.098747660860806,39.015817223198596,12.114981454604095,16.718462823725982,69.36936936936937
2017,atlanta,21.74166436612374,39.853463587921844,11.761123918054892,16.362975086379343,100
2018,atlanta,20.59998731527875,39.381227058206605,11.8097960244251,15.718267979929381,70.45454545454545
2010,austin,18.523880791254555,41.97889182058048,9.625540086413826,12.096904224443728,55.26315789473685
2011,austin,21.434959069959415,48.069164265129686,12.113609467455621,14.84251968503937,92.5925925925926
2012,austin,21.639360689413298,49.01615271659325,12.200956937799043,14.875098662457068,87.09677419354838
2013,austin,22.589273308322912,57.06051873198847,12.986296109631123,16.059388256307212,100
2014,austin,23.96576859723195,52.55515219212511,14.501655806003633,17.823278488726384,65.625
2015,austin,22.918387413962634,51.3583071203889,13.336534930365266,16.754936240230357,86.95652173913044
2016,austin,21.934732419559474,44.22239303100179,12.356535996422716,15.67773979918821,58.97435897435898
2017,austin,22.47643808904777,45.535714285714285,11.064159220670302,15.031541689264408,100
2018,austin,18.621364886259478,39.704301075268816,10.013370970138165,12.968561872909698,87.5
2010,baltimore,28.26007757752395,54.94847574066123,10.852192362093351,21.778912650281946,52.46636771300448
2011,baltimore,26.072218432855877,52.183209543101505,10.15625,19.803668302764144,46.192893401015226
2012,baltimore,23.250136790268954,46.62646489930595,9.156403307146043,17.83699720596763,48.148148148148145
