ed_gr=1,Neither parent hold BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed_gr=2,One parent holds BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed_gr=3,Both parents hold BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yr cohort reaches HS graduation,,Non-metropolitan portions of states or combined states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metropolitan statistical areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ed_gr,AL,AK HI,AZ,AR,CA,CO WY,DE MD VA WV,FL,GA,ID MT,IL,IN,IA,KS NE ND SD,KY,LA,ME NH VT,MA RI CT,MI,MN,MS,MO,NV,NM,NY,NC,OH,OK,OR WA,PA NJ,SC,TN,TX,UT,WI,Atlanta,Boston,Charlotte,Chicago,Cincinnati,Cleveland,Dallas,Denver,Detroit,Houston,Kansas City,Los Angeles,Miami,Minneapolis-St. Paul,New York City,Orlando,Philadelphia,Phoenix,Pittsburgh,Portland,Sacramento,San Antonio,San Diego,San Fran,Seattle,St. Louis,Tampa,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,1,39752.08,16683.69,16037.61,26906.14,185404.8,18414.24,65532.64,68947.55,39491.36,23712.69,24211.14,43926.31,23729.52,44075.66,32400.25,33300.93,9371.371,33720.99,39669.1,12925.42,24332.63,22188.56,32320.34,18769.11,37298.73,65548.29,55615.36,35030.64,64352.53,53491.84,35908.91,47886.83,133951.3,26344.42,34094.7,48447.73,35336.13,20314.01,50544.48,15602.19,15817.06,69219.95,22791.07,31709.83,83711.11,14461.04,75214.75,48022.76,24455.5,98401.7,16036.39,33506.83,46427.22,12262.4,4634.374,21923.2,33651.28,21377.07,25702.19,29097.45,19883.82,21686.21,45706.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,1,38516.31,17133.95,17692.6,24684.73,160858.1,18220.29,64055.52,71495.17,38352.32,21316.53,22678.34,50306.26,23554.2,44047.6,31176.91,37158.43,10462.77,40115.46,42638.44,13028.32,23658.28,23295.07,29079.63,16062.73,38038.89,59959.96,56498.82,31458.43,59623.3,56123.62,33206.7,51520.79,115552.2,30635.6,37898.8,50478.7,32188.94,24267.2,59536.58,19067.68,13244.76,69227.36,22264.36,33544.27,76156.89,13911.13,88073.71,45039.65,21660.05,119308.2,19220.02,36679.13,46352.99,10131.05,1189.522,18264.58,27777.21,22073.16,22838.48,27121.94,20079.28,23318.98,39289.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,1,39189.09,13301.63,17943.2,26135.85,172686.5,19471.93,76672.96,70719.91,42302.03,24103.03,22591.95,53870.36,23205.2,45147.06,33785.51,37097.39,13439.44,40754.66,46411.96,15156.95,25342.35,23856.46,29069.13,16852.1,38162.63,59520.41,57864.46,35027.32,61967.04,48041.94,34180.5,56046.5,118226.4,32046,35758.28,48811.37,26655.32,22569.44,61963.06,17625.66,12614.88,69221.32,22550.45,35341.65,77098.4,13777.17,89814.54,41899.54,22186.51,122185.3,19775.14,42222.21,51173.95,9191.423,2129.939,19384.13,29463.96,20335.16,19132.02,22799.75,18652.72,24143.84,43314.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,1,42774.33,12297.11,21996.73,30576.38,155286,20617.12,72804.35,70555.56,39244.89,24791.45,24146.25,52195.39,21251.37,43576.28,34598.04,42761.7,11401.65,39755.98,43762.12,15511.72,27820.13,22163.82,31712.73,17430.91,38345.79,68986.32,62000.79,32729.94,65961.95,56160.95,33680,53887.75,127159.9,28133.25,35818.79,48850.49,26835.8,23646.04,64942.84,17484.64,11149.84,76805.39,21452.38,32655.34,73619.44,17911.26,95519.26,40331.55,22300.56,124454.6,22247.97,46772.31,49059.98,11855.45,1563.624,17626.89,31357.73,23822.08,22561.87,28044.12,15305.12,22639.4,43997.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,1,41136.46,13482.17,18850.7,29044.52,159949.8,23716.32,77045.46,65719.06,38741.74,24997.52,24151.98,45588.52,22899.26,44110.34,36559.45,41615.89,10619.9,38179.86,47242.77,16049.26,28419.73,26006.1,29847.78,18860.76,38924.4,62624.77,60266.34,35218.24,67685.23,57699.55,33792.04,52856.31,128448.6,27889.17,36096.14,48043.01,25880.96,24254.08,56819.75,18626.68,17437.94,70767.88,21212.05,35590.43,74438.27,16738.3,92009.51,48310.69,23841.87,131732.9,20141,37373.21,50749.02,11076.64,2006.701,18905.32,31710.57,22554.47,21912.74,25026.44,21053.05,22402.98,47602.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,1,41764.88,16283.8,15232.42,29919.46,158533.9,19937.29,68180.27,66654.77,40155.38,21771.1,21243.28,48541.32,21317.43,46766.59,32179.23,32774.77,13333.02,35251.28,44631.8,16838.46,21446.25,23713.57,28575.23,17859.27,39761.5,64859.81,55143.8,34846.81,56953.13,54102.58,33163.57,46943.38,116771.6,24281.84,35271.66,40983.22,31257.79,22010.19,56942.13,16220.26,14010.58,65896.62,20706.08,26244.88,67512.86,16107.01,86612.41,38535.31,24741.43,109420.4,20183.35,38999.85,41241.36,10462.11,2583.601,19719.91,31353.68,17019.64,20917.03,32022.75,14351.1,21834.45,39944.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,1,41660.86,11807.32,18812.22,28423.67,156688,22508.88,73093.98,67054.68,40636.63,24446.74,22996.28,52856.73,22450.82,44276.41,28601.04,36891.74,9937.401,40688.68,43100.47,17012.91,27970.46,23656.63,28063.49,20965.56,40323.38,63516.82,60505.54,35367.76,59727.18,52930.75,34899.18,53488.24,116789.4,28252.48,33971.54,50428.13,23958.36,22009.6,61646.69,15822.41,13928.5,68745.95,19936.98,32071.32,64590.59,15657.01,89142.39,40996.92,25051.81,119588.7,22100.02,40595.69,42527.23,10558.34,2040.84,19191.13,30805.13,20001.96,19012.54,29259.56,15647.09,23177.22,37114.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,1,43447.81,15789.36,18448.19,26738.22,169215.1,20505.75,75841.85,70894.17,40803.74,26119.5,23915.87,45990.64,24265.66,44075.52,34020.08,40227.24,11328.77,45782.94,47202.95,15320.14,29782,22744.55,29003.58,21737.16,45375.48,69282.24,62655.13,34152.63,66738.58,54773.39,37266.55,52754.69,122307.5,29399.42,39590.77,45611.55,26178.04,23294.16,63897.7,15790.47,12735.96,62479.52,19482.18,32729.34,76310.48,14853.29,96049.57,42600.33,22920.08,118876.7,19936.33,41160.79,46113.34,10250.83,1935.464,19539.59,29213.53,20378.01,21352.17,25500.91,17392.07,24463.79,37533.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,1,41797.25,14243.2,20465.56,30020.67,165718.9,19391.28,75181.16,75517.73,42426.23,22876.02,23767.42,50975.39,22870.64,44717.19,35033.69,43524.89,10540.5,38780.61,44888.86,14762.26,28620.24,26392.64,31034.59,18334.44,42009.59,66375.53,62582.13,39125.41,64675.58,58955.98,37528.43,54029.67,124612.7,27095.65,44686.54,47366.43,28308.2,21964.77,59495.29,19585.32,13589.78,72100.49,20687.25,30525.61,74150.13,16301.9,98475.91,47042.23,26424.12,124004.5,20902.71,43411.45,46541.43,8510.534,2309.422,20600.62,28780.77,18468.8,22361.53,25304.06,17406.13,22725.99,39676.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,1,44208.08,15026.41,21695.15,29657.07,174917.8,25211.83,77623.48,81294.73,46015.11,24043.21,26819.55,53757.8,23589.54,49808.55,34883.2,46911.75,14928.27,44936.39,46909.68,16106.22,33858.27,24422.5,29877.1,18584.77,41990.38,67570.08,66674.4,39550.27,60329.14,53294.36,40497.57,59695.05,128616.9,27738.93,41317.56,45101.23,27509.39,22832.59,74053.91,21394.45,15012.51,74563.02,21832.96,33668.07,71223.34,16887.43,103540.8,44866.39,21528.9,128644.7,23142.37,44625.89,48174.89,11891.16,2725.121,21262.89,29739.73,21945.61,22501.18,27561.4,23327.08,23592.4,43448.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,44205.33,16453.76,20524.09,27974.28,176681.5,20919.96,83849.02,73459.15,47689.67,25685.74,28224.29,55111.22,24636.96,51328.57,35939.65,43035.27,11774.13,44869.21,48064.71,16577.43,32375.4,25392.43,30788.91,23063.61,42320.14,70797.38,64602.39,36420.83,68271.66,57464.36,40946.14,61905.53,134053.4,27776.49,43366.71,51417.12,30322.19,26186.32,76112.18,18715.6,15012.28,75828.85,23927.18,34100.84,77521.83,16429.25,107532.6,44517.21,23296.77,141852.3,23104.15,46897.45,52758.74,12523.61,2156.213,22374.5,27019.66,23007.7,28744.96,25930.38,19591.52,22886.35,45629.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,42223.84,14029.29,22449.3,28820.32,183671.5,23701.37,73433.8,77712.81,40981.5,23617.15,25883.71,49332.27,26117.56,44176.43,34780.4,40189.14,15398.68,46955.64,44302.24,13543.22,32525.39,21205.68,33369.29,18357.17,39204.35,72288.27,67398.63,40364.27,65148.07,55481.17,34872.36,57384.04,125394.1,28798.6,44488.2,51071.76,26676.9,22809.54,75660.71,17768.15,16227.97,70965.89,21989.33,33169.82,67503.59,15030.28,99800.76,46276.3,18787.96,124927.1,18092.76,46590.57,46384.86,12902.75,1529.443,20190.87,26675.7,20555.51,24869.84,27531.42,18263.66,20948.63,36568.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,41966.18,15457.83,19206.49,24584.81,168076.1,22092.39,81941.52,67547.37,40867.98,26810.77,28288.87,50904.3,24658.19,44948.14,37338.44,41106.18,15330.18,45209.09,43858.31,15536.42,26736.46,23094.96,25488.6,19801.29,44776.88,63977.39,61583.13,33888.54,57946.55,53124.96,40577.63,57457.94,122749.4,30208.47,38708.92,48962.01,19831.78,20529.62,69820.38,18049.96,14634.98,76378.63,21165.28,34736.1,77929.84,17009.49,105229.2,43924.33,23164.73,142692.5,19519.98,41554.64,50597.3,12170.31,1880.11,19041.82,28868.96,21482.07,22116.22,26748.08,19952.48,22997.98,39830.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,39062.91,15408.31,21224.67,30302.54,168930.2,19459.6,76812.83,71499.6,42669.26,23646.86,27118.25,49710.72,23196.58,42806.02,30662.99,43461.39,11594.89,49882.22,45299.5,15036.94,29330.31,28241.02,32161.31,21244.72,40655.04,65623.5,66397.26,36812.14,58332.09,53586.67,34697.99,52109.5,123407.8,25098.43,42389.54,46971.9,26348.35,20118,70506.67,17286.92,14123.54,72823.68,20478.53,34365.55,67089.6,16852.42,103751.9,48787.49,24637.25,135078.5,19386.37,41228.18,42172.02,12008.4,3150.076,18120.55,24873.08,23954.33,25040.48,23965.13,19797.06,23224.68,36010.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
