Yr cohort reaches HS graduation,Non-metropolitan portions of states or combined states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metropolitan statistical areas,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AL,AK HI,AZ,AR,CA,CO WY,DE MD VA WV,FL,GA,ID MT,IL,IN,IA,KS NE ND SD,KY,LA,ME NH VT,MA RI CT,MI,MN,MS,MO,NV,NM,NY,NC,OH,OK,OR WA,PA NJ,SC,TN,TX,UT,WI,Atlanta,Boston,Charlotte,Chicago,Cincinnati,Cleveland,Dallas,Denver,Detroit,Houston,Kansas City,Los Angeles,Miami,Minneapolis-St. Paul,New York City,Orlando,Philadelphia,Phoenix,Pittsburgh,Portland,Sacramento,San Antonio,San Diego,San Fran,Seattle,St. Louis,Tampa,DC
Age 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,60474.27,25283.81,24278.31,40896.41,254171.6,31804.87,120365.9,108712.7,56697.9,42019.08,36699.43,72937.38,46036.32,76269.93,47626.52,50252.36,17996.45,64090.2,66118.13,22707.93,34627.15,32752.79,45170.64,25541.97,67154.71,102586.6,89672.94,51856.36,101167.4,87225.56,56137.52,79534.73,185908.7,55565.86,62031.25,81893.88,68519.33,36735.84,99324.29,27916.34,24643.28,110140.3,42026.39,55041.37,122917.8,26028.46,121923.2,75804.98,46633.93,200802.6,34294.79,69219.77,72423.58,25756.06,7222.998,33204.04,47047.69,34545.04,52228.38,53588.47,34295.31,36997.98,85910.2
2034,63525.47,28623.09,25668.75,40407.96,236734.1,32689.68,116661,114533.2,57508.35,40397.09,37150.17,84807.93,43362.88,77791.46,46957.41,53625.27,20320.27,75081.3,70498.98,25023.28,33634,34469.75,43144.32,24678.22,66135.09,102267.3,95262.14,48962.1,102820.9,94739.48,52096.44,83092.95,167221.5,59492.85,66288.04,85448.15,65978.93,45932.84,111169.1,31566.93,22802.2,106915,42664.79,58018.91,114749,26505.45,146816.1,74891.34,45407.74,228450.8,33811.11,72884.24,76623.39,23148.09,3358.044,31263.28,43124.87,35733.93,48699.09,54027.63,36482.48,39353.38,90144.79
2033,61508.84,23740.85,26132.67,39906.34,254339.3,32492.54,130287.5,114122.9,59802.45,41409.2,36432.43,85161.41,40298.91,76276.05,50399.89,56370.92,23644.49,75122.02,72164.19,27428.41,36036.48,36117.33,44567.84,24040.62,69312.59,101691.7,89646.91,52537.64,108106.7,82744.17,54917.75,85323.16,171772.7,56358.82,63113.03,82806.63,59997.68,39379.1,108117.8,28989.34,22086.19,113265.5,42504.03,59472.95,123017.7,25901.69,146560.4,75803.87,52178.51,235584.6,34733.61,78384.28,78199.87,19232.91,4974.429,32426.21,44786.43,36560.63,45149.57,46843.74,33212.95,39375.21,85778.02
2032,66537.84,24108.55,30806.71,43829.47,239945,36022.14,128782.3,112568.5,58712.12,44690.21,38366.18,84580.61,38380.32,78462.87,52256.44,63288.48,23492.73,73277.34,69282.16,27254.54,38645.73,32672.54,45518.67,28955.37,70933.57,110740.4,97318.38,48455.17,109863.9,93211.6,52395.05,85728.13,178843.9,55905.22,63500.57,85898.01,59038.75,42315.89,117821.1,31640.56,20922.14,121377.9,41409.13,54752.31,116675.9,31617.25,153334.2,75885.95,48246.78,240957.5,37102.41,83358.34,80598.41,23001.81,4406.534,33057.83,46987.77,40301.02,52774.44,55266.56,34562.49,40369.3,86801.89
2031,63973.78,23863.93,26997.51,41574.39,242139.2,37666.23,132049.1,105274.1,57567.29,44295.35,35616.02,74652.59,42503.75,76157.13,54319.91,63745.04,20746,75369.41,74772.91,27376.03,41168.57,37168.02,44584.34,26737.27,68139.84,100727.9,100173.4,53496.15,108694.4,92333.11,54115.93,82792.38,180900.2,57687.52,64880.03,83376.22,61832.39,40799.02,109431.5,31656.84,27727.04,115376.2,40207.99,56249.55,112242.3,30647.62,150213.7,75944.73,48059.13,245893.7,34604.91,73409.53,81807.25,23718.93,4415.009,34920.13,45792.7,44285.91,49638.87,50154.98,37057.7,38888.96,93278.97
2030,64081.39,25885.28,22921.84,44973.02,229763,33899.06,122737.4,107086.1,56440.8,39664.06,33922.93,81352.63,38303.52,77757.16,49071.23,49340.84,24844.91,71042.74,74049.3,27672.25,32634.5,35472.01,41491.35,25943.37,68081.98,107910.4,88810.84,51863.03,96334.16,89219.39,50351.72,76909.85,164159.2,48325.74,71711.84,76760.32,63897.09,38474.2,106959.7,27586.22,22043.12,106245.5,40168.5,49865.54,105865.3,29491.77,140203.9,68922.36,50669.34,215568.8,34978.42,72544.45,67376.54,21668.8,5640.617,31749.71,46354.06,32163.85,47905.5,56950.1,29978,37072.46,84438.37
2029,62618.07,20887.37,26946.98,41570.9,231033.4,35496.29,127673.5,105170.7,59367.93,42087.17,36721.88,83657.55,39532.24,74349.57,43388.1,55122.09,19730.16,76893.48,67479.77,27331.36,40349.88,34951.83,41904.54,28820.54,69773.96,99075.4,94361.25,52141.5,101509.5,90524.34,56010.58,83818.6,166429.5,52783.18,62596.88,84498.55,54315.57,39610,110844,27802.25,22585.9,111977.7,40998.64,52332.24,102035.2,27585.83,141892.9,72585.91,50989.82,226944.8,36505.78,76448.68,68535.05,20667.63,4423.406,34219.52,44441.8,35998.03,45091.46,54978.83,30998.28,37184.6,83889.49
2028,62855.56,24959.57,25867.08,40812.22,241755,35371.4,134507.1,109898.2,56877.05,43192.91,37832.59,80166.41,42440.03,76781.84,51364.82,57000.3,20544.11,79086.73,76221.42,25939.16,41354.13,33539.42,43886.64,29966.9,71522.45,111115.3,95055.03,50473.97,108322.9,89719.13,56781.26,82042.49,172794.2,55755.93,68763.11,80060.49,55312.89,38600.55,115937.9,26857.27,20126.68,105481.6,38956.35,51405.76,116060.2,28030.65,149396.6,74002.13,47510.56,227727.9,32676.35,78153.59,71357.6,20751.36,3972.234,33597.61,43436.2,35439.42,49216.83,49426.13,35289.27,39895.02,82874.3
2027,64877.15,26920.53,28346.26,44302.98,239295.1,36085.78,132059.2,115474.2,61069.31,41424.4,38630.52,81560.52,40059.64,79255.63,52700.32,61540.82,20015.39,79941.19,74922.28,25101.51,38437.14,38936.59,44577.65,26407.8,69911.32,107067.9,99735.17,56324.91,107005.7,95655.62,59624.29,86099.74,175201,52861.13,73809.52,84170.65,60955.13,41448.05,107055.8,32612.28,23077.64,119602.6,40337.15,52947.48,111460.9,30182.49,151188.1,75465.49,48459.63,233036.6,34049.13,79319.74,75774.13,20617.73,5181.703,34922.65,42148.89,32850.76,50058.45,49886.3,32524.12,38936.94,81494.45
