Yr cohort reaches HS graduation,Atlanta,Boston,Charlotte,Chicago,Cincinnati,Cleveland,Dallas,Denver,Detroit,Houston,Kansas City,Los Angeles,Miami,Minneapolis-St. Paul,New York City,Orlando,Philadelphia,Phoenix,Pittsburgh,Portland,Sacramento,San Antonio,San Diego,San Fran,Seattle,St. Louis,Tampa,DC
Age 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,81893.88,68519.33,36735.84,99324.29,27916.34,24643.28,110140.3,42026.39,55041.37,122917.8,26028.46,121923.2,75804.98,46633.93,200802.6,34294.79,69219.77,72423.58,25756.06,7222.998,33204.04,47047.69,34545.04,52228.38,53588.47,34295.31,36997.98,85910.2
2034,85448.15,65978.93,45932.84,111169.1,31566.93,22802.2,106915,42664.79,58018.91,114749,26505.45,146816.1,74891.34,45407.74,228450.8,33811.11,72884.24,76623.39,23148.09,3358.044,31263.28,43124.87,35733.93,48699.09,54027.63,36482.48,39353.38,90144.79
2033,82806.63,59997.68,39379.1,108117.8,28989.34,22086.19,113265.5,42504.03,59472.95,123017.7,25901.69,146560.4,75803.87,52178.51,235584.6,34733.61,78384.28,78199.87,19232.91,4974.429,32426.21,44786.43,36560.63,45149.57,46843.74,33212.95,39375.21,85778.02
2032,85898.01,59038.75,42315.89,117821.1,31640.56,20922.14,121377.9,41409.13,54752.31,116675.9,31617.25,153334.2,75885.95,48246.78,240957.5,37102.41,83358.34,80598.41,23001.81,4406.534,33057.83,46987.77,40301.02,52774.44,55266.56,34562.49,40369.3,86801.89
2031,83376.22,61832.39,40799.02,109431.5,31656.84,27727.04,115376.2,40207.99,56249.55,112242.3,30647.62,150213.7,75944.73,48059.13,245893.7,34604.91,73409.53,81807.25,23718.93,4415.009,34920.13,45792.7,44285.91,49638.87,50154.98,37057.7,38888.96,93278.97
2030,76760.32,63897.09,38474.2,106959.7,27586.22,22043.12,106245.5,40168.5,49865.54,105865.3,29491.77,140203.9,68922.36,50669.34,215568.8,34978.42,72544.45,67376.54,21668.8,5640.617,31749.71,46354.06,32163.85,47905.5,56950.1,29978,37072.46,84438.37
2029,84498.55,54315.57,39610,110844,27802.25,22585.9,111977.7,40998.64,52332.24,102035.2,27585.83,141892.9,72585.91,50989.82,226944.8,36505.78,76448.68,68535.05,20667.63,4423.406,34219.52,44441.8,35998.03,45091.46,54978.83,30998.28,37184.6,83889.49
2028,80060.49,55312.89,38600.55,115937.9,26857.27,20126.68,105481.6,38956.35,51405.76,116060.2,28030.65,149396.6,74002.13,47510.56,227727.9,32676.35,78153.59,71357.6,20751.36,3972.234,33597.61,43436.2,35439.42,49216.83,49426.13,35289.27,39895.02,82874.3
2027,84170.65,60955.13,41448.05,107055.8,32612.28,23077.64,119602.6,40337.15,52947.48,111460.9,30182.49,151188.1,75465.49,48459.63,233036.6,34049.13,79319.74,75774.13,20617.73,5181.703,34922.65,42148.89,32850.76,50058.45,49886.3,32524.12,38936.94,81494.45
2026,82268.69,60936.52,40563.94,126825.6,33964.71,24648.41,121045.5,41838.21,57019.82,110602.5,29955.85,161950.9,74025.1,48129.21,245128.6,39948.94,84291.48,76909.43,23199.21,5890.435,33617.67,43137.98,34652.21,51804.09,50184.3,39460.48,39087.68,85871.98
2025,87233.2,63504.24,43686.15,131793.8,33643.89,23540.9,122293.9,42409.59,54740.41,114819.8,29094.01,163972.1,77606.88,48600.59,258214.8,40145.01,84261.44,81918.3,26249.91,5677.323,37014.54,41629.38,41170.07,54346.82,49497.54,34249.9,39473.39,89760.52
2024,89976.45,60928.44,41002.98,131560.6,29565.64,26773.85,113907.5,41705.86,56884.99,105017.3,27980.4,157850.5,76515.91,43411.81,241445.3,29918.15,86552.35,74204.22,25822.36,5267.964,34346.59,40751.88,35759.21,50632.03,49699.99,33812.73,37388.3,80996.72
2023,87315.66,50572.62,41264.55,121583.4,29259.93,24841.85,125786.3,42470.16,60434.54,113599,31114.34,158096.5,78562.38,49685.99,253921.4,35911.32,78498.69,79733.56,23621.66,4824.846,30879.74,42365.2,38748.51,51677.86,50215.25,36368.38,37756.27,84491.47
2022,82990.07,60916.43,36556.05,124824.1,29305.67,23911.43,114336.4,40313.71,58905.54,107103.4,30414.39,165377.7,78955.48,48175.29,246774.4,32460.65,82618.75,69372.98,23450.5,6688.066,32422.05,37887.59,41694.79,53661.86,45939.16,38612.56,38438.04,83052.36
2021,88669.77,64687.41,39638.38,116900.5,27780.41,26269.71,113462.2,45280.25,57615.48,113024.5,28704.04,156370,71948.73,46083.18,236815,38350.07,81193.7,68801.93,26039.8,5826.045,30728.41,39860.95,38760.23,48103.9,41797.05,38164.7,37614.46,82231.86
2020,87837.05,59564.42,34427.48,116324.5,29316.78,24616.16,106704.5,39318.8,54026.5,98476.59,29141.26,161082.2,71352.59,49126.61,235321.3,31754.73,74722.37,64942.01,21441.36,5230.664,32828.23,38565.8,36172.32,51054.92,42559.55,34141.39,35272.12,74645.27
2019,83023.35,62531.71,41244.31,130116,28934.54,26747.66,115205.9,42011.94,61227.2,106504.3,28885.08,168232.4,74126.99,46646.32,250343.2,35870.98,76181.92,72536.85,27721.63,6051.746,30781.26,35397.88,38289.76,52907.78,43950.94,41733.35,37981.93,81277.11
2018,83812.15,60651.93,36465.91,127796.6,29926.87,28056.31,104656.8,36440.82,56632.23,98683.96,29556.92,165589.5,71820.02,50396.29,239928.5,31733.29,82535.78,62738.9,25230.53,6155.187,29206.42,34507.86,37888.66,48931.84,46625.53,31861.99,38350.39,74702.5
