"Name","ActiveHomeListingCount","AggravatedAssault","AggravatedAssaultRate","AggregateHouseholdIncome","Area","AverageHomeListingPrice","BurglaryRate","CitySalesTaxRate","CrimeRate","Elevation","GiniIndex","HousePriceIndex","HousingUnits","Latitude","Longitude","MedianAge","NumberOfHomes","PerCapitaIncome","Population","UnemploymentRate"
"Minneapolis",6996.,2196,0.0050949,15800634500,53.973,524274.,0.0078814,0.5,0.05442720000000001,830.,0.4986,332.1,176974,44.9633235,-93.2682835,32.3,979442,38808,429954,2.4
"Saint Paul",6996.,946,0.003049,9132726300,51.979,524274.,0.006568600000000001,0.5,0.04177100000000001,794.,0.4793,332.1,113154,44.9488695,-93.1038552,32.,979442,31242,306717,2.7
"Rochester",433.,157,0.0013275000000000001,4522017500,54.586,454990.,0.0023844,0.75,0.020961100000000003,1.02e3,0.4507,314.89,47097,44.0154424,-92.4772105,35.7,66771,39518,121395,2.1
"Bloomington",6996.,85,0.0009895000000000001,3423491500,34.682,524274.,0.0021303000000000003,"Missing[""NotAvailable""]",0.03820640000000001,827.,0.4233,332.1,35494,44.8296656,-93.315217,41.6,979442,41137,89987,2.7
"Duluth",499.,184,0.0021434,2620448800,67.793,359005.,0.0056031,1.5,0.04615240000000001,702.,0.4759,367.16,36182,46.783229,-92.1187097,34.1,89813,31216,86697,2.5
"Brooklyn Park",6996.,148,0.0018224000000000003,2490359900,26.073,524274.,0.0036818000000000003,"Missing[""NotAvailable""]",0.0376673,869.,0.4121,332.1,27275,45.110906,-93.3490876,35.,979442,31926,86478,2.8
"Plymouth",6996.,24,0.0002977,4363157900,32.682,524274.,0.0018855000000000002,"Missing[""NotAvailable""]",0.012094400000000002,971.,0.4386,332.1,31218,45.0220449,-93.4625762,39.9,979442,56371,81026,2.1
"Woodbury",6996.,7,0.00009650000000000001,3412683100,34.729,524274.,0.0019993000000000003,"Missing[""NotAvailable""]",0.018048500000000002,1.06e3,0.3983,332.1,25366,44.9062835,-92.9237025,37.1,979442,49424,75102,2.
"Maple Grove",6996.,28,0.0003827000000000001,3538641100,32.635,524274.,0.000984,0.,0.015921900000000003,942.,0.3819,332.1,27332,45.1127644,-93.462975,40.,979442,50431,70253,1.9
"Blaine",6996.,24,0.0003622,2361904800,33.847,524274.,0.0019016,"Missing[""NotAvailable""]",0.0248566,906.,0.3973,332.1,23123,45.1704972,-93.2060714,37.7,979442,37602,70222,2.3
"Lakeville",6996.,21,0.0003125,2856169700,36.055,524274.,0.0007737000000000001,0.25,0.0090617,971.,0.3721,332.1,22246,44.6803366,-93.2439997,36.6,979442,45254,69490,2.3
"Eagan",6996.,15,0.0002245,3043599100,31.117,524274.,0.0013917,"Missing[""NotAvailable""]",0.0199479,958.,0.4216,332.1,26211,44.8155,-93.1624,38.2,979442,46476,68855,2.1
"Saint Cloud",286.,175,0.0025618000000000004,1764463800,40.038,379659.,0.0032938000000000004,0.,0.0401253,1.03e3,0.4619,312.5,26374,45.5266811,-94.1710564,30.9,52003,27183,68510,3.3
"Burnsville",6996.,63,0.0010276,2174218700,24.905,524274.,0.0021205000000000004,0.25,0.028121200000000002,971.,0.3962,332.1,24702,44.7644087,-93.2793722,36.8,979442,36151,64317,2.5
"Eden Prairie",6996.,25,0.00038590000000000006,3745666700,32.448,524274.,0.0010498,0.,0.011609100000000002,886.,0.4504,332.1,24790,44.8479205,-93.4586013,39.4,979442,58870,64198,2.
